セット,英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　DragonsofTarkir,　DromokaCaptain,ドロモカの隊長（どろもかのたいちょう）,　1,1,　アンコモン,　クリーチャー,　２白,先制攻撃ドロモカの隊長が攻撃するたび、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　DromokaDunecaster,ドロモカの砂丘唱え（どろもかのさきゅうとなえ）,　0,2,　コモン,　クリーチャー,　白,(１)(白) (Ｔ)：飛行を持たないクリーチャー１体を対象とし、それをタップする。
　DragonsofTarkir,　DromokaWarrior,ドロモカの戦士（どろもかのせんし）,　3,1,　コモン,　クリーチャー,　１白,
　DragonsofTarkir,　EchoesoftheKinTree,族樹の残響（ぞくじゅのざんきょう）,　3,1,　アンコモン,　エンチャント,　１白,(２)(白)：鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　EnduringVictory,不朽の勝利（ふきゅうのしょうり）,　3,1,　コモン,　インスタント,　４白,攻撃かブロックしているクリーチャー１体を対象とし、それを破壊する。鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　FateForgotten,忘れられた運命（わすれられたうんめい）,　3,1,　コモン,　インスタント,　２白,アーティファクト１つかエンチャント１つを対象とし、それを追放する。
　DragonsofTarkir,　GlaringAegis,まばゆい神盾（まばゆいしんじゅん）,　3,1,　コモン,　エンチャント,　白,エンチャント（クリーチャー）まばゆい神盾が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。エンチャントされているクリーチャーは+1/+3の修整を受ける。
　DragonsofTarkir,　GleamofAuthority,権威の微光（けんいのびこう）,　3,1,　レア,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーは、あなたがコントロールする他のクリーチャーの上に置かれている+1/+1カウンター１個につき+1/+1の修整を受ける。エンチャントされているクリーチャーは警戒を持つとともに「(白) (Ｔ)：鼓舞１を行う。」を持つ。（鼓舞１を行うには、あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　GracebladeArtisan,雅刃の職工（みやびやいばのしょっこう）,　2,3,　アンコモン,　クリーチャー,　２白,雅刃の職工は、これにつけられているオーラ(Aura)１つにつき+2/+2の修整を受ける。
　DragonsofTarkir,　GreatTeacher'sDecree,偉大なる師の指令（いだいなるしのしれい）,　2,3,　アンコモン,　ソーサリー,　３白,ターン終了時まで、あなたがコントロールするクリーチャーは+2/+1の修整を受ける。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　HeraldofDromoka,ドロモカの伝令（どろもかのでんれい）,　2,2,　コモン,　クリーチャー,　１白,警戒あなたがコントロールする他の戦士(Warrior)クリーチャーは警戒を持つ。
　DragonsofTarkir,　HiddenDragonslayer,隠れたる龍殺し（かくれたるりゅうごろし）,　2,1,　レア,　クリーチャー,　１白,絆魂大変異(２)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）隠れたる龍殺しが表向きになったとき、対戦相手がコントロールするパワーが４以上のクリーチャー１体を対象とし、それを破壊する。
　DragonsofTarkir,　Lightwalker,光歩き（ひかりあるき）,　2,1,　コモン,　クリーチャー,　１白,光歩きは、その上に+1/+1カウンターが置かれているかぎり飛行を持つ。
　DragonsofTarkir,　MisthoofKirin,霧蹄の麒麟（むていのきりん）,　2,1,　コモン,　クリーチャー,　２白,飛行、警戒大変異(１)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　MythRealized,神話実現（しんわじつげん）,　2,1,　レア,　エンチャント,　白,あなたがクリーチャーでない呪文を１つ唱えるたび、神話実現の上に伝承(lore)カウンターを１個置く。(２)(白)：神話実現の上に伝承カウンターを１個置く。(白)：ターン終了時まで、神話実現は他のタイプに加えてモンク(Monk)・アバター(Avatar)・クリーチャーになり、「このクリーチャーのパワーとタフネスは、それぞれこの上に置かれている伝承カウンターの総数に等しい。」を得る。
　DragonsofTarkir,　OjutaiExemplars,オジュタイの模範（おじゅたいのもはん）,　4,4,　神話レア,　クリーチャー,　２白白,あなたがクリーチャーでない呪文を１つ唱えるたび、以下から１つを選ぶ。・クリーチャー１体を対象とし、それをタップする。・ターン終了時まで、オジュタイの模範は先制攻撃と絆魂を得る。・オジュタイの模範を追放し、その後これをオーナーのコントロール下でタップ状態で戦場に戻す。
　DragonsofTarkir,　OratorofOjutai,オジュタイの語り部（おじゅたいのかたりべ）,　0,4,　アンコモン,　クリーチャー,　１白,オジュタイの語り部を唱えるための追加コストとして、あなたの手札にあるドラゴン(Dragon)・カードを１枚公開してもよい。防衛、飛行オジュタイの語り部が戦場に出たとき、あなたがオジュタイの語り部を唱えた時点でドラゴン・カードを公開したかドラゴンをコントロールしていた場合、カードを１枚引く。
　DragonsofTarkir,　Pacifism,平和な心（へいわなこころ）,　0,4,　コモン,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーでは攻撃したりブロックしたりできない。
　DragonsofTarkir,　ProfoundJourney,深遠な旅（しんえんなたび）,　0,4,　レア,　ソーサリー,　５白白,あなたの墓地にあるパーマネント・カード１枚を対象とし、それを戦場に戻す。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　RadiantPurge,光輝の粛清（こうきのしゅくせい）,　0,4,　レア,　インスタント,　１白,多色のクリーチャー１体か多色のエンチャント１つを対象とし、それを追放する。
　DragonsofTarkir,　Resupply,補給（ほきゅう）,　0,4,　コモン,　インスタント,　５白,あなたは６点のライフを得る。カードを１枚引く。
　DragonsofTarkir,　SandcrafterMage,砂造形の魔道士（すなぞうけいのまどうし）,　2,2,　コモン,　クリーチャー,　２白,砂造形の魔道士が戦場に出たとき、鼓舞１を行う。（あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　SandstormCharger,砂嵐の突撃者（すなあらしのとつげきしゃ）,　3,4,　コモン,　クリーチャー,　４白,大変異(４)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　ScaleBlessing,鱗の祝福（うろこのしゅくふく）,　3,4,　アンコモン,　インスタント,　３白,鼓舞１を行い、その後あなたがコントロールする+1/+1カウンターが置かれている各クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。（鼓舞１を行うには、あなたがコントロールするクリーチャーの中で最も小さいタフネスを持つクリーチャーを１体選び、それの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　SecuretheWastes,荒野の確保（こうやのかくほ）,　3,4,　レア,　インスタント,　Ｘ白,白の1/1の戦士(Warrior)クリーチャー・トークンをＸ体戦場に出す。
　DragonsofTarkir,　ShieldhideDragon,盾皮のドラゴン（たてがわのどらごん）,　3,3,　アンコモン,　クリーチャー,　５白,飛行、絆魂大変異(５)(白)(白)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）盾皮のドラゴンが表向きになったとき、あなたがコントロールする他の各ドラゴン(Dragon)・クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。
　DragonsofTarkir,　Silkwrap,絹包み（きぬつつみ）,　3,3,　アンコモン,　エンチャント,　１白,絹包みが戦場に出たとき、対戦相手がコントロールする点数で見たマナ・コストが３以下のクリーチャー１体を対象とし、絹包みが戦場を離れるまでそれを追放する。（そのクリーチャーはオーナーのコントロール下で戦場に戻る。）
　DragonsofTarkir,　StrongarmMonk,豪腕の修道士（ごうわんのしゅうどうし）,　3,3,　アンコモン,　クリーチャー,　４白,あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。
　DragonsofTarkir,　StudentofOjutai,オジュタイの学徒（おじゅたいのがくと）,　2,4,　コモン,　クリーチャー,　３白,あなたがクリーチャーでない呪文を１つ唱えるたび、あなたは２点のライフを得る。
　DragonsofTarkir,　SunscorchRegent,陽焼の執政（ようしょうのしっせい）,　4,3,　レア,　クリーチャー,　３白白,飛行対戦相手が呪文を１つ唱えるたび、陽焼の執政の上に+1/+1カウンターを１個置き、あなたは１点のライフを得る。
　DragonsofTarkir,　SurgeofRighteousness,正義のうねり（せいぎのうねり）,　4,3,　アンコモン,　インスタント,　１白,攻撃かブロックしている、黒か赤のクリーチャー１体を対象とし、それを破壊する。あなたは２点のライフを得る。
　DragonsofTarkir,　TerritorialRoc,領空のロック（りょうくうのろっく）,　1,3,　コモン,　クリーチャー,　１白,飛行
　DragonsofTarkir,　AncientCarp,古えの鯉（いにしえのこい）,　2,5,　コモン,　クリーチャー,　４青,
　DragonsofTarkir,　Anticipate,予期（よき）,　2,5,　コモン,　インスタント,　１青,あなたのライブラリーの一番上から３枚のカードを見る。そのうち１枚をあなたの手札に加え、残りをあなたのライブラリーの一番下に望む順番で置く。
　DragonsofTarkir,　BelltollDragon,鐘鳴りのドラゴン（かねなりのどらごん）,　3,3,　アンコモン,　クリーチャー,　５青,飛行、呪禁大変異(５)(青)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）鐘鳴りのドラゴンが表向きになったとき、あなたがコントロールする他の各ドラゴン(Dragon)・クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。
　DragonsofTarkir,　BlessedReincarnation,祝福された転生（しゅくふくされたてんせい）,　3,3,　レア,　インスタント,　３青,対戦相手がコントロールするクリーチャー１体を対象とし、それを追放する。そのプレイヤーは自分のライブラリーの一番上から、クリーチャー・カードが公開されるまでカードを公開し続ける。そのプレイヤーはそのカードを戦場に出し、その後、残りを自分のライブラリーに加えて切り直す。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　CloneLegion,クローンの軍勢（くろーんのぐんぜい）,　3,3,　神話レア,　ソーサリー,　７青青,プレイヤー１人を対象とする。そのプレイヤーがコントロールするクリーチャー１体につき、あなたはそのクリーチャーのコピーであるトークンを１体戦場に出す。
　DragonsofTarkir,　Contradict,否定（ひてい）,　3,3,　コモン,　インスタント,　３青青,呪文１つを対象とし、それを打ち消す。カードを１枚引く。
　DragonsofTarkir,　DanceoftheSkywise,空智の踊り（くうちのおどり）,　3,3,　アンコモン,　インスタント,　１青,あなたがコントロールするクリーチャー１体を対象とする。ターン終了時まで、それは基本のパワーとタフネスが4/4の青のドラゴン(Dragon)・イリュージョン(Illusion)になり、すべての能力を失い、飛行を得る。
　DragonsofTarkir,　DirgurNemesis,ダルガーの宿敵（だるがーのしゅくてき）,　6,5,　コモン,　クリーチャー,　５青,防衛大変異(６)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　Dragonlord'sPrerogative,龍王の大権（りゅうおうのたいけん）,　6,5,　レア,　インスタント,　４青青,龍王の大権を唱えるための追加コストとして、あなたの手札にあるドラゴン(Dragon)・カードを１枚公開してもよい。あなたが龍王の大権を唱えた時点でドラゴン・カードを公開したかドラゴンをコントロールしていたなら、龍王の大権は打ち消されない。カードを４枚引く。
　DragonsofTarkir,　ElusiveSpellfist,神出鬼没の呪拳士（しんしゅつきぼつのじゅけんし）,　1,3,　コモン,　クリーチャー,　１青,あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、神出鬼没の呪拳士は+1/+0の修整を受けるとともに、このターン、ブロックされない。
　DragonsofTarkir,　EncaseinIce,氷固め（こおりがため）,　1,3,　アンコモン,　エンチャント,　１青,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）エンチャント（赤か緑のクリーチャー）氷固めが戦場に出たとき、エンチャントされているクリーチャーをタップする。エンチャントされているクリーチャーは、それのコントローラーのアンタップ・ステップにアンタップしない。
　DragonsofTarkir,　Glint,きらめき（きらめき）,　1,3,　コモン,　インスタント,　１青,あなたがコントロールするクリーチャー１体を対象とする。ターン終了時まで、それは+0/+3の修整を受けるとともに呪禁を得る。（それはあなたの対戦相手がコントロールする呪文や能力の対象にならない。）
　DragonsofTarkir,　GudulLurker,グドゥルの闇潜み（ぐどぅるのやみひそみ）,　1,1,　アンコモン,　クリーチャー,　青,グドゥルの闇潜みはブロックされない。大変異(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　GurmagDrowner,グルマグの溺れさせるもの（ぐるまぐのおぼれさせるもの）,　2,4,　コモン,　クリーチャー,　３青,濫用（このクリーチャーが戦場に出たとき、あなたはクリーチャーを１体生け贄に捧げてもよい。）グルマグの溺れさせるものがクリーチャーを１体濫用したとき、あなたのライブラリーの一番上から４枚のカードを見る。そのうち１枚をあなたの手札に加え、残りをあなたの墓地に置く。
　DragonsofTarkir,　IcefallRegent,氷瀑の執政（ひょうばくのしっせい）,　4,3,　レア,　クリーチャー,　３青青,飛行氷瀑の執政が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。あなたが氷瀑の執政をコントロールしているかぎり、そのクリーチャーは、そのコントローラーのアンタップ・ステップにアンタップしない。あなたの対戦相手が氷瀑の執政を対象とする呪文を唱えるためのコストは(２)多くなる。
　DragonsofTarkir,　IllusoryGains,錯覚の利得（さっかくのりとく）,　4,3,　レア,　エンチャント,　３青青,エンチャント（クリーチャー）あなたはエンチャントされているクリーチャーをコントロールする。クリーチャーが１体対戦相手のコントロール下で戦場に出るたび、そのクリーチャーに錯覚の利得をつける。
　DragonsofTarkir,　LearnfromthePast,過去に学ぶ（かこにまなぶ）,　4,3,　アンコモン,　インスタント,　３青,プレイヤー１人を対象とする。そのプレイヤーは自分の墓地を自分のライブラリーに加えて切り直す。カードを１枚引く。
　DragonsofTarkir,　LivingLore,生ける伝承（いけるでんしょう）,　*,*,　レア,　クリーチャー,　３青,生ける伝承が戦場に出るに際し、あなたの墓地にあるインスタント・カード１枚かソーサリー・カード１枚を追放する。生ける伝承のパワーとタフネスはそれぞれ、その追放したカードの点数で見たマナ・コストに等しい。生ける伝承が戦闘ダメージを与えるたび、あなたはこれを生け贄に捧げてもよい。そうしたなら、あなたはその追放したカードをそのマナ・コストを支払うことなく唱えてもよい。
　DragonsofTarkir,　MirrorMockery,嘲る映し身（あざけるうつしみ）,　*,*,　レア,　エンチャント,　１青,エンチャント（クリーチャー）エンチャントされているクリーチャーが攻撃するたび、あなたはそのクリーチャーのコピーであるトークンを１体戦場に出してもよい。戦闘終了時に、そのトークンを追放する。
　DragonsofTarkir,　MonasteryLoremaster,僧院の伝承師（そういんのでんしょうし）,　3,2,　コモン,　クリーチャー,　３青,大変異(５)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）僧院の伝承師が表向きになったとき、あなたの墓地にあるクリーチャーでも土地でもないカード１枚を対象とし、それをあなたの手札に戻す。
　DragonsofTarkir,　MysticMeditation,神秘の瞑想（しんぴのめいそう）,　3,2,　コモン,　ソーサリー,　３青,カードを３枚引く。その後、あなたがクリーチャー・カードを１枚捨てないかぎり、カードを２枚捨てる。
　DragonsofTarkir,　Negate,否認（ひにん）,　3,2,　コモン,　インスタント,　１青,クリーチャーでない呪文１つを対象とし、それを打ち消す。
　DragonsofTarkir,　OjutaiInterceptor,オジュタイの介入者（おじゅたいのかいにゅうしゃ）,　3,1,　コモン,　クリーチャー,　３青,飛行大変異(３)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　Ojutai'sBreath,オジュタイの息吹（おじゅたいのいぶき）,　3,1,　コモン,　インスタント,　２青,クリーチャー１体を対象とし、それをタップする。それは、そのコントローラーの次のアンタップ・ステップにアンタップしない。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　Ojutai'sSummons,オジュタイの召喚（おじゅたいのしょうかん）,　3,1,　コモン,　ソーサリー,　３青青,飛行を持つ青の2/2のジン(Djinn)・モンク(Monk)・クリーチャー・トークンを１体戦場に出す。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　PalaceFamiliar,宮殿の使い魔（きゅうでんのつかいま）,　1,1,　コモン,　クリーチャー,　１青,飛行宮殿の使い魔が死亡したとき、カードを１枚引く。
　DragonsofTarkir,　ProfaneroftheDead,死者を冒涜するもの（ししゃをぼうとくするもの）,　3,3,　レア,　クリーチャー,　３青,濫用（このクリーチャーが戦場に出たとき、あなたはクリーチャーを１体生け贄に捧げてもよい。）死者を冒涜するものがクリーチャーを１体濫用したとき、その濫用されたクリーチャーのタフネスより小さいタフネスを持つ、対戦相手がコントロールするクリーチャーをすべてオーナーの手札に戻す。
　DragonsofTarkir,　QarsiDeceiver,カルシの詐欺師（かるしのさぎし）,　0,4,　アンコモン,　クリーチャー,　１青,(Ｔ)：あなたのマナ・プールに(◇)を加える。このマナは、裏向きのクリーチャー呪文を唱えるためか、予示されたクリーチャーを表向きにするためのマナ・コストの支払いのためか、変異コストの支払いのためにのみ使用できる。（大変異コストは変異コストである。）
　DragonsofTarkir,　ReduceinStature,体躯の縮小（たいくのしゅくしょう）,　0,4,　コモン,　エンチャント,　２青,エンチャント（クリーチャー）エンチャントされているクリーチャーは基本のパワーとタフネスが0/2になる。
　DragonsofTarkir,　ShorecrasherElemental,岸砕きの精霊（きしくだきのせいれい）,　3,3,　神話レア,　クリーチャー,　青青青,(青)：岸砕きの精霊を追放し、その後これをオーナーのコントロール下で裏向きで戦場に戻す。(１)：ターン終了時まで、岸砕きの精霊は+1/-1または-1/+1の修整を受ける。大変異(４)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）
　DragonsofTarkir,　Sidisi'sFaithful,シディシの信者（しでぃしのしんじゃ）,　0,4,　コモン,　クリーチャー,　青,濫用（このクリーチャーが戦場に出たとき、あなたはクリーチャーを１体生け贄に捧げてもよい。）シディシの信者がクリーチャーを１体濫用したとき、クリーチャー１体を対象とし、それをオーナーの手札に戻す。
　DragonsofTarkir,　SightBeyondSight,千里眼（せんりがん）,　0,4,　アンコモン,　ソーサリー,　３青,あなたのライブラリーの一番上から２枚のカードを見る。そのうち１枚をあなたの手札に加え、もう１枚をあなたのライブラリーの一番下に置く。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　SilumgarSorcerer,シルムガルの魔術師（しるむがるのまじゅつし）,　2,1,　アンコモン,　クリーチャー,　１青青,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）飛行濫用（このクリーチャーが戦場に出たとき、あなたはクリーチャーを１体生け贄に捧げてもよい。）シルムガルの魔術師がクリーチャーを１体濫用したとき、クリーチャー呪文１つを対象とし、それを打ち消す。
　DragonsofTarkir,　SilumgarSpell-Eater,シルムガルの呪文喰い（しるむがるのじゅもんぐい）,　2,3,　アンコモン,　クリーチャー,　２青,大変異(４)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）シルムガルの呪文喰いが表向きになったとき、呪文１つを対象とする。それのコントローラーが(３)を支払わないかぎり、それを打ち消す。
　DragonsofTarkir,　Silumgar'sScorn,シルムガルの嘲笑（しるむがるのちょうしょう）,　2,3,　アンコモン,　インスタント,　青青,シルムガルの嘲笑を唱えるための追加コストとして、あなたの手札にあるドラゴン(Dragon)・カードを１枚公開してもよい。呪文１つを対象とする。そのコントローラーが(１)を支払わないかぎり、それを打ち消す。あなたがシルムガルの嘲笑を唱えた時点でドラゴン・カードを公開したかドラゴンをコントロールしていたなら、代わりにその呪文を打ち消す。
　DragonsofTarkir,　SkywiseTeachings,空智の教え（くうちのおしえ）,　2,3,　アンコモン,　エンチャント,　３青,あなたがクリーチャーでない呪文を１つ唱えるたび、あなたは(１)(青)を支払ってもよい。そうしたなら、飛行を持つ青の2/2のジン(Djinn)・モンク(Monk)・クリーチャー・トークンを１体戦場に出す。
　DragonsofTarkir,　StratusDancer,層雲の踊り手（そううんのおどりて）,　2,1,　レア,　クリーチャー,　１青,飛行大変異(１)(青)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）層雲の踊り手が表向きになったとき、インスタント呪文１つかソーサリー呪文１つを対象とし、それを打ち消す。
　DragonsofTarkir,　Taigam'sStrike,テイガムの一撃（ていがむのいちげき）,　2,1,　コモン,　ソーサリー,　３青,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+0の修整を受けるとともに、このターン、それはブロックされない。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　UpdraftElemental,上昇気流の精霊（じょうしょうきりゅうのせいれい）,　1,4,　コモン,　クリーチャー,　２青,飛行
　DragonsofTarkir,　VoidSquall,虚空のスコール（こくうのすこーる）,　1,4,　アンコモン,　ソーサリー,　４青,土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。反復（この呪文があなたの手札から唱えられたなら、これの解決に際し、これを追放する。あなたの次のアップキープの開始時に、あなたはこのカードを追放領域からこれのマナ・コストを支払うことなく唱えてもよい。）
　DragonsofTarkir,　YouthfulScholar,若年の識者（じゃくねんのしきしゃ）,　2,2,　アンコモン,　クリーチャー,　３青,若年の識者が死亡したとき、カードを２枚引く。
　DragonsofTarkir,　ZephyrScribe,微風の写字官（びふうのしゃじかん）,　2,1,　コモン,　クリーチャー,　２青,(青) (Ｔ)：カードを１枚引き、その後カードを１枚捨てる。あなたがクリーチャーでない呪文を１つ唱えるたび、微風の写字官をアンタップする。
　DragonsofTarkir,　Acid-SpewerDragon,吐酸ドラゴン（とさんどらごん）,　3,3,　アンコモン,　クリーチャー,　５黒,飛行、接死大変異(５)(黒)(黒)（あなたはこのカードを、(３)で2/2クリーチャーとして裏向きに唱えてもよい。これの大変異コストで、これをいつでも表向きにしてもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。）吐酸ドラゴンが表向きになったとき、あなたがコントロールする他の各ドラゴン(Dragon)・クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。
