英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　HorriblyAwry,手酷い失敗（てひどいしっぱい）,　2,1,　アンコモン,　インスタント,　１青,欠色（このカードは無色である。）点数で見たマナ・コストが４以下のクリーチャー呪文１つを対象とし、それを打ち消す。その呪文がこれにより打ち消されたなら、それをオーナーの墓地に置く代わりに追放する。
　IncubatorDrone,培養ドローン（ばいようどろーん）,　2,3,　コモン,　クリーチャー,　３青,欠色（このカードは無色である。）培養ドローンが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。
　MistIntruder,霧の侵入者（きりのしんにゅうしゃ）,　1,2,　コモン,　クリーチャー,　１青,欠色（このカードは無色である。）飛行嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）
　MurkStrider,霞の徘徊者（かすみのはいかいしゃ）,　3,2,　コモン,　クリーチャー,　３青,欠色（このカードは無色である。）霞の徘徊者が戦場に出たとき、クリーチャー１体を対象とする。あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、そのクリーチャーをオーナーの手札に戻す。
　OracleofDust,塵の予言者（ちりのよげんしゃ）,　3,5,　コモン,　クリーチャー,　４青,欠色（このカードは無色である。）(２) 追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置く：カードを１枚引き、その後カードを１枚捨てる。
　RuinationGuide,破滅を導くもの（はめつをみちびくもの）,　3,2,　アンコモン,　クリーチャー,　２青,欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）あなたがコントロールする他の無色のクリーチャーは+1/+0の修整を受ける。
　SalvageDrone,回収ドローン（かいしゅうどろーん）,　1,1,　コモン,　クリーチャー,　青,欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）回収ドローンが死亡したとき、あなたはカードを１枚引いてもよい。そうしたなら、カードを１枚捨てる。
　SpellShrivel,呪文萎れ（じゅもんしおれ）,　1,1,　コモン,　インスタント,　２青,欠色（このカードは無色である。）呪文１つを対象とする。そのコントローラーが(４)を支払わないかぎり、それを打ち消す。その呪文がこれにより打ち消されたなら、それをオーナーの墓地に置く代わりに追放する。
　TideDrifter,波に漂うもの（なみにただようもの）,　0,5,　アンコモン,　クリーチャー,　１青,欠色（このカードは無色である。）あなたがコントロールする他の無色のクリーチャーは+0/+1の修整を受ける。
　Ulamog'sReclaimer,ウラモグの回収者（うらもぐのかいしゅうしゃ）,　2,5,　アンコモン,　クリーチャー,　４青,欠色（このカードは無色である。）ウラモグの回収者が戦場に出たとき、あなたの墓地からインスタント・カード１枚かソーサリー・カード１枚を対象とする。あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、その対象としたカードをあなたの手札に戻す。
　Anticipate,予期（よき）,　2,5,　コモン,　インスタント,　１青,あなたのライブラリーの一番上から３枚のカードを見る。そのうち１枚をあなたの手札に加え、残りをあなたのライブラリーの一番下に望む順番で置く。
　BrilliantSpectrum,輝く光波（かがやくこうは）,　2,5,　コモン,　ソーサリー,　３青,収斂―カードをＸ枚引く。Ｘは、輝く光波を唱えるために支払われたマナの色の総数に等しい。その後、カードを２枚捨てる。
　CloudManta,雲マンタ（くもまんた）,　3,2,　コモン,　クリーチャー,　３青,飛行
　ClutchofCurrents,掴み掛かる水流（つかみかかるすいりゅう）,　3,2,　コモン,　ソーサリー,　青,クリーチャー１体を対象とし、それをオーナーの手札に戻す。覚醒３―(４)(青)（この呪文を(４)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　CoastalDiscovery,沿岸の発見（えんがんのはっけん）,　3,2,　アンコモン,　ソーサリー,　３青,カードを２枚引く。覚醒４―(５)(青)（この呪文を(５)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　CoralhelmGuide,珊瑚兜の案内人（さんごかぶとのあんないにん）,　2,1,　コモン,　クリーチャー,　１青,(４)(青)：クリーチャー１体を対象とする。このターン、それはブロックされない。
　DampeningPulse,鈍化する脈動（どんかするみゃくどう）,　2,1,　アンコモン,　エンチャント,　３青,あなたの対戦相手がコントロールするクリーチャーは-1/-0の修整を受ける。
　Dispel,払拭（ふっしょく）,　2,1,　コモン,　インスタント,　青,インスタント呪文１つを対象とし、それを打ち消す。
　ExertInfluence,影響力の行使（えいきょうりょくのこうし）,　2,1,　レア,　ソーサリー,　４青,収斂―クリーチャー１体を対象とする。それのパワーが、影響力の行使を唱えるために支払われたマナの色の総数以下であるなら、それのコントロールを得る。
　GuardianofTazeem,タジームの守護者（たじーむのしゅごしゃ）,　4,5,　レア,　クリーチャー,　３青青,飛行上陸―土地が１つあなたのコントロール下で戦場に出るたび、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。その土地が島(Island)であるなら、そのクリーチャーはそれのコントローラーの次のアンタップ・ステップにアンタップしない。
　HalimarTidecaller,ハリマーの潮呼び（はりまーのしおよび）,　2,3,　アンコモン,　クリーチャー,　２青,ハリマーの潮呼びが戦場に出たとき、あなたの墓地から覚醒を持つカード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。あなたがコントロールする土地クリーチャーは飛行を持つ。
　ParttheWaterveil,水の帳の分離（みずのとばりのぶんり）,　2,3,　神話レア,　ソーサリー,　４青青,このターンに続いて追加の１ターンを行う。水の帳の分離を追放する。覚醒６―(６)(青)(青)(青)（この呪文を(６)(青)(青)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを６個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　PrismArray,プリズム結界（ぷりずむけっかい）,　2,3,　レア,　エンチャント,　４青,収斂―プリズム結界は、これを唱えるために支払われたマナの色１色につき、水晶(crystal)カウンターが１個置かれた状態で戦場に出る。プリズム結界から水晶カウンターを１個取り除く：クリーチャー１体を対象とし、それをタップする。(白)(青)(黒)(赤)(緑)：占術３を行う。（あなたのライブラリーの一番上から３枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）
　RetreattoCoralhelm,珊瑚兜への撤退（さんごかぶとへのてったい）,　2,3,　アンコモン,　エンチャント,　２青,上陸―土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・クリーチャー１体を対象とする。あなたはそれをタップまたはアンタップしてもよい。・占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）
　Roilmage'sTrick,乱動魔道士の計略（らんどうまどうしのけいりゃく）,　2,3,　コモン,　インスタント,　３青,収斂―ターン終了時まで、対戦相手がコントロールするクリーチャーは-X/-0の修整を受ける。Ｘは、乱動魔道士の計略を唱えるために支払われたマナの色の総数に等しい。カードを１枚引く。
　RushofIce,氷の猛進（こおりのもうしん）,　2,3,　コモン,　ソーサリー,　青,クリーチャー１体を対象とし、それをタップする。それは、そのコントローラーの次のアンタップ・ステップにアンタップしない。覚醒３―(４)(青)（この呪文を(４)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　ScattertotheWinds,風への散乱（かぜへのさんらん）,　2,3,　レア,　インスタント,　１青青,呪文１つを対象とし、それを打ち消す。覚醒３―(４)(青)(青)（この呪文を(４)(青)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）
　TighteningCoils,巻き締め付け（まきしめつけ）,　2,3,　コモン,　エンチャント,　１青,エンチャント（クリーチャー）エンチャントされているクリーチャーは-6/-0の修整を受けるとともに飛行を失う。
　Ugin'sInsight,ウギンの洞察力（うぎんのどうさつりょく）,　2,3,　レア,　ソーサリー,　３青青,占術Ｘを行う。Ｘは、あなたがコントロールするパーマネントの点数で見たマナ・コストの中で最も大きいものに等しい。その後、カードを３枚引く。
　Wave-WingElemental,波翼の精霊（はよくのせいれい）,　3,4,　コモン,　クリーチャー,　５青,飛行上陸―土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、波翼の精霊は+2/+2の修整を受ける。
　WindriderPatrol,風乗りの巡回兵（かぜのりのじゅんかいへい）,　4,3,　アンコモン,　クリーチャー,　３青青,飛行風乗りの巡回兵がプレイヤー１人に戦闘ダメージを与えるたび、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）
　CompleteDisregard,完全無視（かんぜんむし）,　4,3,　コモン,　インスタント,　２黒,欠色（このカードは無色である。）パワーが３以下のクリーチャー１体を対象とし、それを追放する。
　CullingDrone,淘汰ドローン（とうたどろーん）,　2,2,　コモン,　クリーチャー,　１黒,欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）
　DominatorDrone,威圧ドローン（いあつどろーん）,　3,2,　コモン,　クリーチャー,　２黒,欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）威圧ドローンが戦場に出たとき、あなたが他の無色のクリーチャーをコントロールしている場合、各対戦相手はそれぞれ２点のライフを失う。
　GraveBirthing,墓の出産（はかのしゅっさん）,　3,2,　コモン,　インスタント,　２黒,欠色（このカードは無色である。）対戦相手１人を対象とする。そのプレイヤーは自分の墓地からカードを１枚追放する。あなたは無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。カードを１枚引く。
　GripofDesolation,荒廃の一掴み（こうはいのひとつかみ）,　3,2,　アンコモン,　インスタント,　４黒黒,欠色（このカードは無色である。）クリーチャー１体と土地１つを対象とし、それらを追放する。
　MindRaker,精神を掻き寄せるもの（せいしんをかきよせるもの）,　3,3,　コモン,　クリーチャー,　３黒,欠色（このカードは無色である。）精神を掻き寄せるものが戦場に出たとき、あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、各対戦相手はそれぞれカードを１枚捨てる。
　SilentSkimmer,音無く飛ぶもの（おとなくとぶもの）,　0,4,　コモン,　クリーチャー,　３黒,欠色（このカードは無色である。）飛行音無く飛ぶものが攻撃するたび、防御プレイヤーは２点のライフを失う。
　Skitterskin,ハヤバイ（はやばい）,　4,3,　アンコモン,　クリーチャー,　３黒,欠色（このカードは無色である。）ハヤバイではブロックできない。(１)(黒)：ハヤバイを再生する。この能力は、あなたが他の無色のクリーチャーをコントロールしているときにのみ起動できる。
　SludgeCrawler,泥這い（どろはい）,　1,1,　コモン,　クリーチャー,　黒,欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）(２)：ターン終了時まで、泥這いは+1/+1の修整を受ける。
　SmotheringAbomination,息詰まる忌まわしきもの（いきづまるいまわしきもの）,　4,3,　レア,　クリーチャー,　２黒黒,欠色（このカードは無色である。）飛行あなたのアップキープの開始時に、クリーチャーを１体生け贄に捧げる。あなたがクリーチャーを１体生け贄に捧げるたび、カードを１枚引く。
