英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　Gideon'sPhalanx,ギデオンの密集軍（ぎでおんのみっしゅうぐん）,　1,1,　レア,　インスタント,　５白白,警戒を持つ白の2/2の騎士(Knight)クリーチャー・トークンを４体戦場に出す。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、ターン終了時まで、あなたがコントロールするクリーチャーは破壊不能を得る。
　GraspoftheHieromancer,秘儀術師の掌握（ひぎじゅつしのしょうあく）,　1,1,　コモン,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーは+1/+1の修整を受けるとともに「このクリーチャーが攻撃するたび、防御プレイヤーがコントロールするクリーチャー１体を対象とし、それをタップする。」を持つ。
　HallowedMoonlight,神聖なる月光（しんせいなるげっこう）,　1,1,　レア,　インスタント,　１白,ターン終了時まで、クリーチャーが、それが唱えられることなく戦場に出るなら、代わりにそれを追放する。カードを１枚引く。
　HealingHands,治癒の手（ちゆのて）,　1,1,　コモン,　ソーサリー,　２白,プレイヤー１人を対象とする。そのプレイヤーは４点のライフを得る。カードを１枚引く。
　HeavyInfantry,重歩兵（じゅうほへい）,　3,4,　コモン,　クリーチャー,　４白,重歩兵が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。
　Hixus PrisonWarden,牢獄の管理人、ヒクサス（ろうごくのかんりにんひくさす）,　4,4,　レア,　伝説のクリーチャー,　３白白,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）クリーチャー１体があなたに戦闘ダメージを与えるたび、牢獄の管理人、ヒクサスがこのターンに戦場に出ていた場合、牢獄の管理人、ヒクサスが戦場を離れるまでそのクリーチャーを追放する。（そのクリーチャーはオーナーのコントロール下で戦場に戻る。）
　KnightofthePilgrim'sRoad,巡礼者の道の騎士（じゅんれいしゃのみちのきし）,　3,2,　コモン,　クリーチャー,　２白,高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）
　KnightoftheWhiteOrchid,白蘭の騎士（びゃくらんのきし）,　2,2,　レア,　クリーチャー,　白白,先制攻撃白蘭の騎士が戦場に出たとき、対戦相手１人があなたより多くの土地をコントロールしている場合、あなたはあなたのライブラリーから平地(Plains)カードを１枚探してもよい。そうしたなら、それを戦場に出し、その後あなたのライブラリーを切り直す。
　KnightlyValor,騎士の勇気（きしのゆうき）,　2,2,　アンコモン,　エンチャント,　４白,エンチャント（クリーチャー）騎士の勇気が戦場に出たとき、警戒を持つ白の2/2の騎士(Knight)クリーチャー・トークンを１体戦場に出す。（それは攻撃してもタップしない。）エンチャントされているクリーチャーは+2/+2の修整を受けるとともに警戒を持つ。
　Gideon Battle-Forged,歴戦の戦士、ギデオン（れきせんのせんしぎでおん）,　2,1,　神話レア,　〔白〕プレインズウォーカー,　白,戦闘終了時に、この戦闘でアクロスの英雄、キテオンと少なくとも２体の他のクリーチャーが攻撃していた場合、アクロスの英雄、キテオンを追放し、その後、これを変身させた状態でオーナーのコントロール下で戦場に戻す。(２)(白)：ターン終了時まで、アクロスの英雄、キテオンは破壊不能を得る。[+2]：対戦相手がコントロールするクリーチャーを最大１体まで対象とする。それのコントローラーの次のターン中、そのクリーチャーは可能なら歴戦の戦士、ギデオンを攻撃する。[+1]：クリーチャー１体を対象とする。次のあなたのターンまで、それは破壊不能を得る。そのクリーチャーをアンタップする。[0]：ターン終了時まで、歴戦の戦士、ギデオンは破壊不能を持つ4/4の人間(Human)・兵士(Soldier)クリーチャーになる。これはプレインズウォーカーでもある。このターン、これに与えられるすべてのダメージを軽減する。　忠誠度：3
　Kytheon'sIrregulars,キテオンの不正規軍（きておんのふせいきぐん）,　4,3,　レア,　クリーチャー,　２白白,高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）(白)(白)：クリーチャー１体を対象とし、それをタップする。
　Kytheon'sTactics,キテオンの戦術（きておんのせんじゅつ）,　4,3,　コモン,　ソーサリー,　１白白,ターン終了時まで、あなたがコントロールするクリーチャーは+2/+1の修整を受ける。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、ターン終了時まで、それらのクリーチャーは警戒も得る。（それらは攻撃してもタップしない。）
　MightyLeap,力強い跳躍（ちからづよいちょうやく）,　4,3,　コモン,　インスタント,　１白,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受けるとともに飛行を得る。
　MurderInvestigation,殺人の捜査（さつじんのそうさ）,　4,3,　アンコモン,　エンチャント,　１白,エンチャント（あなたがコントロールするクリーチャー）エンチャントされているクリーチャーが死亡したとき、白の1/1の兵士(Soldier)クリーチャー・トークンをＸ体戦場に出す。Ｘは、そのエンチャントされているクリーチャーのパワーである。
　PatronoftheValiant,勇者の守護神（ゆうしゃのしゅごしん）,　4,4,　アンコモン,　クリーチャー,　３白白,飛行勇者の守護神が戦場に出たとき、あなたがコントロールする+1/+1カウンターが置かれている各クリーチャーの上に、+1/+1カウンターをそれぞれ１個置く。
　RelicSeeker,秘宝の探求者（ひほうのたんきゅうしゃ）,　2,2,　レア,　クリーチャー,　１白,高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）秘宝の探求者が高名になったとき、あなたはあなたのライブラリーから装備品(Equipment)カードを１枚探してもよい。そうしたなら、それを公開してあなたの手札に加え、その後あなたのライブラリーを切り直す。
　SentineloftheEternalWatch,永遠警備の歩哨（えいえんけいびのほしょう）,　4,6,　アンコモン,　クリーチャー,　５白,警戒（このクリーチャーは攻撃してもタップしない。）各対戦相手のターンの戦闘の開始時に、そのプレイヤーがコントロールするクリーチャー１体を対象とし、それをタップする。
　SigiloftheEmptyThrone,空位の玉座の印章（くういのぎょくざのいんしょう）,　4,6,　レア,　エンチャント,　３白白,あなたがエンチャント呪文を唱えるたび、飛行を持つ白の4/4の天使(Angel)クリーチャー・トークンを１体戦場に出す。
　StalwartAven,確固たるエイヴン（かっこたるえいう゛ん）,　1,3,　コモン,　クリーチャー,　２白,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）
　StarfieldofNyx,ニクスの星原（にくすのせいげん）,　1,3,　神話レア,　エンチャント,　４白,あなたのアップキープの開始時に、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたはそれを戦場に戻してもよい。あなたが５つ以上のエンチャントをコントロールしているかぎり、あなたがコントロールする他のオーラ(Aura)でないエンチャントは、それの他のタイプに加えてクリーチャーである。それらはそれぞれ、その点数で見たマナ・コストに等しい基本のパワーと基本のタフネスを持つ。
　SuppressionBonds,抑制する縛め（よくせいするいましめ）,　1,3,　コモン,　エンチャント,　３白,エンチャント（土地でないパーマネント）エンチャントされているパーマネントでは攻撃したりブロックしたりできず、それの起動型能力は起動できない。
　SwiftReckoning,迅速な報い（じんそくなむくい）,　1,3,　アンコモン,　ソーサリー,　１白,魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、あなたは迅速な報いを、それが瞬速を持っているかのように唱えてもよい。（あなたはこれを、あなたがインスタントを唱えられるときならいつでも唱えてよい。）タップ状態のクリーチャー１体を対象とし、それを破壊する。
　TopanFreeblade,トーパの自由刃（とーぱのじゆうじん）,　2,2,　コモン,　クリーチャー,　１白,警戒（このクリーチャーは攻撃してもタップしない。）高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）
　Totem-GuideHartebeest,族霊導きの鹿羚羊（ぞくれいみちびきのしかれいよう）,　2,5,　アンコモン,　クリーチャー,　４白,族霊導きの鹿羚羊が戦場に出たとき、あなたはあなたのライブラリーからオーラ(Aura)・カードを１枚探してもよい。そうしたなら、それを公開してあなたの手札に加え、その後、あなたのライブラリーを切り直す。
　TragicArrogance,悲劇的な傲慢（ひげきてきなごうまん）,　2,5,　レア,　ソーサリー,　３白白,プレイヤー１人につき、あなたはそのプレイヤーがコントロールしているパーマネントの中からアーティファクト１つ、クリーチャー１体、エンチャント１つ、プレインズウォーカー１体を選ぶ。その後、各プレイヤーはそれぞれ、自分がコントロールする他のすべての土地でないパーマネントを生け贄に捧げる。
　ValorinAkros,アクロスでの武勇（あくろすでのぶゆう）,　2,5,　アンコモン,　エンチャント,　３白,クリーチャーが１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。
　VrynWingmare,ヴリンの翼馬（う゛りんのよくば）,　2,1,　レア,　クリーチャー,　２白,飛行クリーチャーでない呪文を唱えるためのコストは(１)多くなる。
　WarOracle,戦乱の神託者（せんらんのしんたくしゃ）,　3,3,　アンコモン,　クリーチャー,　２白白,絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）高名１（このクリーチャーがプレイヤー１人に戦闘ダメージを与えたとき、これが高名でない場合、これの上に+1/+1カウンターを１個置く。これは高名になる。）
　YokedOx,鋤引きの雄牛（すきひきのおうし）,　0,4,　コモン,　クリーチャー,　白,
　Alhammarret HighArbiter,高位調停者、アルハマレット（こういちょうていしゃあるはまれっと）,　5,5,　レア,　伝説のクリーチャー,　５青青,飛行高位調停者、アルハマレットが戦場に出るに際し、各対戦相手はそれぞれ自分の手札を公開する。あなたはこれにより公開された土地でないカードの名前を１つ選ぶ。（このクリーチャーが戦場に出ているかぎり）あなたの対戦相手は選ばれた名前を持つ呪文を唱えられない。
　AnchortotheAEther,霊気への抑留（れいきへのよくりゅう）,　5,5,　アンコモン,　ソーサリー,　２青,クリーチャー１体を対象とし、それをオーナーのライブラリーの一番上に置く。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）
　Artificer'sEpiphany,工匠の天啓（こうしょうのてんけい）,　5,5,　コモン,　インスタント,　２青,カードを２枚引く。あなたがアーティファクトをコントロールしていないなら、カードを１枚捨てる。
　AspiringAeronaut,飛空士志願者（ひくうししがんしゃ）,　1,2,　コモン,　クリーチャー,　３青,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）飛空士志願者が戦場に出たとき、飛行を持つ無色の1/1の飛行機械(Thopter)アーティファクト・クリーチャー・トークンを１体戦場に出す。
　BonetoAsh,骨を灰に（ほねをはいに）,　1,2,　コモン,　インスタント,　２青青,クリーチャー呪文１つを対象とし、それを打ち消す。カードを１枚引く。
　CalculatedDismissal,計算された放逐（けいさんされたほうちく）,　1,2,　コモン,　インスタント,　２青,呪文１つを対象とする。それのコントローラーが(３)を支払わないかぎり、それを打ち消す。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）
　ClashofWills,意思の激突（いしのげきとつ）,　1,2,　アンコモン,　インスタント,　Ｘ青,呪文１つを対象とする。それのコントローラーが(Ｘ)を支払わないかぎり、それを打ち消す。
　Claustrophobia,閉所恐怖症（へいしょきょうふしょう）,　1,2,　コモン,　エンチャント,　１青青,エンチャント（クリーチャー）閉所恐怖症が戦場に出たとき、エンチャントされているクリーチャーをタップする。エンチャントされているクリーチャーは、それのコントローラーのアンタップ・ステップにアンタップしない。
　Day'sUndoing,一日のやり直し（いちにちのやりなおし）,　1,2,　神話レア,　ソーサリー,　２青,各プレイヤーはそれぞれ、自分の手札と墓地を自分のライブラリーに加えて切り直し、その後カードを７枚引く。あなたのターンであるなら、ターンを終了する。（このカードを含め、スタック領域にある呪文や能力をすべて追放する。あなたの手札の最大枚数になるまで手札を捨てる。ダメージは消え、「このターン」と「ターン終了時まで」の効果は終わる。）
　Deep-SeaTerror,深海の恐怖（しんかいのきょうふ）,　6,6,　コモン,　クリーチャー,　４青青,あなたの墓地にカードが７枚以上ないかぎり、深海の恐怖は攻撃できない。
　DiscipleoftheRing,輪の信奉者（りんのしんぽうしゃ）,　3,4,　神話レア,　クリーチャー,　３青青,(１) あなたの墓地にあるインスタント・カード１枚かソーサリー・カード１枚を追放する：以下から１つを選ぶ。・クリーチャーでない呪文１つを対象とする。それのコントローラーが(２)を支払わないかぎり、それを打ち消す。・ターン終了時まで、輪の信奉者は+1/+1の修整を受ける。・クリーチャー１体を対象とし、それをタップする。・クリーチャー１体を対象とし、それをアンタップする。
　Disperse,分散（ぶんさん）,　3,4,　コモン,　インスタント,　１青,土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。
　DisplacementWave,変位の波（へんいのなみ）,　3,4,　レア,　ソーサリー,　Ｘ青青,点数で見たマナ・コストがＸ以下のすべての土地でないパーマネントをオーナーの手札に戻す。
　Dreadwaters,戦慄水（せんりつすい）,　3,4,　コモン,　ソーサリー,　３青,プレイヤー１人を対象とする。そのプレイヤーのライブラリーの一番上からＸ枚のカードをそのプレイヤーの墓地に置く。Ｘは、あなたがコントロールする土地の枚数である。
　FaerieMiscreant,フェアリーの悪党（ふぇありーのあくとう）,　1,1,　コモン,　クリーチャー,　青,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）フェアリーの悪党が戦場に出たとき、あなたが他の《フェアリーの悪党/FaerieMiscreant》という名前のクリーチャーをコントロールしている場合、カードを１枚引く。
　HarbingeroftheTides,潮流の先駆け（ちょうりゅうのさきがけ）,　2,2,　レア,　クリーチャー,　青青,あなたが潮流の先駆けを唱えるためにさらに(２)を支払うなら、あなたは潮流の先駆けを、瞬速を持っているかのように唱えてもよい。（あなたはこれを、あなたがインスタントを唱えられるときならいつでも唱えてよい。）潮流の先駆けが戦場に出たとき、対戦相手がコントロールするタップ状態のクリーチャー１体を対象とする。あなたはそれをオーナーの手札に戻してもよい。
　Hydrolash,水撃（すいげき）,　2,2,　アンコモン,　インスタント,　２青,ターン終了時まで、攻撃クリーチャーは-2/-0の修整を受ける。カードを１枚引く。
　Jace TelepathUnbound,束縛なきテレパス、ジェイス（そくばくなきてれぱすじぇいす）,　0,2,　神話レア,　〔青〕プレインズウォーカー,　１青,(Ｔ)：カードを１枚引き、その後カードを１枚捨てる。あなたの墓地にカードが５枚以上あるなら、ヴリンの神童、ジェイスを追放し、その後、これを変身させた状態でオーナーのコントロール下で戦場に戻す。[+1]：クリーチャーを最大１体まで対象とする。あなたの次のターンまで、それは-2/-0の修整を受ける。[-3]：あなたの墓地にある、インスタント・カード１枚かソーサリー・カード１枚を対象とする。このターン、あなたはそれを唱えてもよい。このターンにそのカードがあなたの墓地に置かれるなら、代わりにそれを追放する。[-9]：あなたは「あなたが呪文を１つ唱えるたび、対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上から５枚のカードを自分の墓地に置く。」を持つ紋章を得る。　忠誠度：5
　Jace'sSanctum,ジェイスの聖域（じぇいすのせいいき）,　0,2,　レア,　エンチャント,　３青,あなたがインスタント呪文やソーサリー呪文を唱えるためのコストは(１)少なくなる。あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）
　JhessianThief,ジェスの盗人（じぇすのぬすびと）,　1,3,　アンコモン,　クリーチャー,　２青,果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）ジェスの盗人がプレイヤー１人に戦闘ダメージを与えるたび、カードを１枚引く。
　MaritimeGuard,臨海の護衛（りんかいのごえい）,　1,3,　コモン,　クリーチャー,　１青,
　MizziumMeddler,ミジウムの干渉者（みじうむのかんしょうしゃ）,　1,4,　レア,　クリーチャー,　２青,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）ミジウムの干渉者が戦場に出たとき、呪文１つか能力１つを対象とする。あなたはそれの対象１つをミジウムの干渉者に変更してもよい。
　Negate,否認（ひにん）,　1,4,　コモン,　インスタント,　１青,クリーチャーでない呪文１つを対象とし、それを打ち消す。
　NivixBarrier,ニヴィックスの障壁（にう゛ぃっくすのしょうへき）,　0,4,　コモン,　クリーチャー,　３青,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）防衛（このクリーチャーでは攻撃できない。）ニヴィックスの障壁が戦場に出たとき、攻撃クリーチャー１体を対象とする。ターン終了時まで、それは-4/-0の修整を受ける。
　PsychicRebuttal,精神的反論（せいしんてきはんろん）,　0,4,　アンコモン,　インスタント,　１青,あなたを対象とするインスタント呪文１つかソーサリー呪文１つを対象とし、それを打ち消す。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、あなたはこれにより打ち消された呪文をコピーしてもよい。あなたはそのコピーの新しい対象を選んでもよい。
　RingwardenOwl,護輪のフクロウ（ごりんのふくろう）,　3,3,　コモン,　クリーチャー,　３青青,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）
　ScrapskinDrake,屑肌のドレイク（くずはだのどれいく）,　2,3,　コモン,　クリーチャー,　２青,飛行（このクリーチャーは飛行や到達を持たないクリーチャーによってはブロックされない。）屑肌のドレイクは飛行を持つクリーチャーのみをブロックできる。
　ScreechingSkaab,金切り声のスカーブ（かなきりごえのすかーぶ）,　2,1,　コモン,　クリーチャー,　１青,金切り声のスカーブが戦場に出たとき、あなたのライブラリーの一番上から２枚のカードをあなたの墓地に置く。
　SendtoSleep,眠りへの誘い（ねむりへのいざない）,　2,1,　コモン,　インスタント,　１青,クリーチャーを最大２体まで対象とし、それらをタップする。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、それらのクリーチャーは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。
　SeparatistVoidmage,分離主義者の虚空魔道士（ぶんりしゅぎしゃのこくうまどうし）,　2,2,　コモン,　クリーチャー,　３青,分離主義者の虚空魔道士が戦場に出たとき、クリーチャー１体を対象とする。あなたはそれをオーナーの手札に戻してもよい。
　SigiledStarfish,印章持ちのヒトデ（いんしょうもちのひとで）,　0,3,　アンコモン,　クリーチャー,　１青,(Ｔ)：占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）
　SkaabGoliath,スカーブの大巨人（すかーぶのだいきょじん）,　6,9,　アンコモン,　クリーチャー,　５青,スカーブの大巨人を唱えるための追加コストとして、あなたの墓地にあるクリーチャー・カードを２枚追放する。トランプル（攻撃しているこのクリーチャーは余剰の戦闘ダメージを防御プレイヤーかプレインズウォーカーに与えることができる。）
　SoulbladeDjinn,魂刃のジン（こんじんのじん）,　4,3,　レア,　クリーチャー,　３青青,飛行あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。
　Sphinx'sTutelage,スフィンクスの後見（すふぃんくすのこうけん）,　4,3,　アンコモン,　エンチャント,　２青,あなたがカードを１枚引くたび、対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上から２枚のカードを自分の墓地に置く。それら２枚がともに土地でないカードであり共通の色を持つなら、この手順を繰り返す。(５)(青)：カードを１枚引き、その後カードを１枚捨てる。
　StratusWalk,層雲歩み（そううんあゆみ）,　4,3,　コモン,　エンチャント,　１青,エンチャント（クリーチャー）層雲歩みが戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは飛行を持つ。（それは飛行や到達を持たないクリーチャーによってはブロックされない。）エンチャントされているクリーチャーは飛行を持つクリーチャーのみをブロックできる。
　TalentoftheTelepath,テレパスの才能（てれぱすのさいのう）,　4,3,　レア,　ソーサリー,　２青青,対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上から７枚のカードを公開する。あなたはその中にあるインスタント・カードかソーサリー・カード１枚を、そのマナ・コストを支払うことなく唱えてもよい。その後、そのプレイヤーは残りのカードを自分の墓地に置く。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、あなたは公開されたインスタント・カードやソーサリー・カードを１枚の代わりに最大２枚まで唱えてもよい。
　ThopterSpyNetwork,飛行機械の諜報網（ひこうきかいのちょうほうもう）,　4,3,　レア,　エンチャント,　２青青,あなたのアップキープの開始時に、あなたがアーティファクトをコントロールしている場合、飛行を持つ無色の1/1の飛行機械(Thopter)アーティファクト・クリーチャー・トークンを１体戦場に出す。あなたがコントロールする１体以上のアーティファクト・クリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、カードを１枚引く。
　TowerGeist,塔の霊（とうのれい）,　2,2,　アンコモン,　クリーチャー,　３青,飛行塔の霊が戦場に出たとき、あなたのライブラリーの一番上から２枚のカードを見る。それらのうち１枚をあなたの手札に加え、もう一方をあなたの墓地に置く。
　TurntoFrog,蛙変化（かえるへんげ）,　2,2,　アンコモン,　インスタント,　１青,クリーチャー１体を対象とする。ターン終了時まで、それはすべての能力を失うとともに基本のパワーとタフネスが1/1の青のカエル(Frog)になる。
　Watercourser,狩漁者（しゅりょうしゃ）,　2,3,　コモン,　クリーチャー,　２青,(青)：狩漁者はターン終了時まで+1/-1の修整を受ける。
　WhirlerRogue,つむじ風のならず者（つむじかぜのならずもの）,　2,2,　アンコモン,　クリーチャー,　２青青,つむじ風のならず者が戦場に出たとき、飛行を持つ無色の1/1の飛行機械(Thopter)アーティファクト・クリーチャー・トークンを２体戦場に出す。あなたがコントロールするアンタップ状態のアーティファクトを２つタップする：クリーチャー１体を対象とする。このターン、それはブロックされない。
　Willbreaker,意志を砕く者（いしをくだくもの）,　2,3,　レア,　クリーチャー,　３青青,対戦相手がコントロールするクリーチャー１体があなたのコントロールする呪文や能力の対象になるたび、あなたが意志を砕く者をコントロールし続けているかぎり、それのコントロールを得る。
　Blightcaster,荒廃唱え（こうはいとなえ）,　2,3,　アンコモン,　クリーチャー,　３黒,あなたがエンチャント呪文を１つ唱えるたび、クリーチャー１体を対象とする。あなたは「それはターン終了時まで-2/-2の修整を受ける」ことを選んでもよい。
　CatacombSlug,地下墓地のナメクジ（ちかぼちのなめくじ）,　2,6,　コモン,　クリーチャー,　４黒,
　ConsecratedbyBlood,血による聖別（ちによるせいべつ）,　2,6,　アンコモン,　エンチャント,　２黒黒,エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+2の修整を受けるとともに飛行と「他のクリーチャーを２体生け贄に捧げる：このクリーチャーを再生する。」を持つ。（このターン、次にこのクリーチャーが破壊されるなら、それは破壊されない。代わりに、それをタップし、ダメージをすべて取り除き、戦闘から取り除く。）
　CruelRevival,残酷な蘇生（ざんこくなそせい）,　2,6,　アンコモン,　インスタント,　４黒,ゾンビ(Zombie)でないクリーチャー１体を対象とし、それを破壊する。それは再生できない。あなたの墓地にあるゾンビ・カードを最大１枚まで対象とし、それをあなたの手札に戻す。
　DarkDabbling,闇の試み（やみのこころみ）,　2,6,　コモン,　インスタント,　２黒,クリーチャー１体を対象とし、それを再生する。カードを１枚引く。（このターン、次にそのクリーチャーが破壊されるなら、それは破壊されない。代わりに、それをタップし、ダメージをすべて取り除き、戦闘から取り除く。）魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、あなたがコントロールする他のクリーチャーもそれぞれ再生する。
　DarkPetition,闇の誓願（やみのせいがん）,　2,6,　レア,　ソーサリー,　３黒黒,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。その後あなたのライブラリーを切り直す。魔巧―あなたの墓地にインスタント・カードやソーサリー・カードが合わせて２枚以上あるなら、あなたのマナ・プールに(黒)(黒)(黒)を加える。
　DeadbridgeShaman,死橋のシャーマン（しばしのしゃーまん）,　3,1,　コモン,　クリーチャー,　２黒,死橋のシャーマンが死亡したとき、対戦相手１人を対象とする。そのプレイヤーはカードを１枚捨てる。
