英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　VexingScuttler,厄介な船沈め（やっかいなふねしずめ）,　4,5,　アンコモン,　クリーチャー,　８,現出(６)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが厄介な船沈めを唱えたとき、あなたの墓地からインスタント・カード１枚かソーサリー・カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。
　WretchedGryff,不憫なグリフ（ふびんなぐりふ）,　3,4,　コモン,　クリーチャー,　７,現出(５)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが不憫なグリフを唱えたとき、カードを１枚引く。飛行
　BlessedAlliance,神聖な協力（しんせいなきょうりょく）,　3,4,　アンコモン,　インスタント,　１白,増呪(２)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・プレイヤー１人を対象とする。そのプレイヤーは４点のライフを得る。・クリーチャー最大２体を対象とし、それらをアンタップする。・対戦相手１人を対象とする。そのプレイヤーは攻撃クリーチャー１体を生け贄に捧げる。
　BorrowedGrace,恩寵借用（おんちょうしゃくよう）,　3,4,　コモン,　インスタント,　２白,増呪(１)(白)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つまたは両方を選ぶ。・ターン終了時まで、あなたがコントロールするクリーチャーは+2/+0の修整を受ける。・ターン終了時まで、あなたがコントロールするクリーチャーは+0/+2の修整を受ける。
　Brisela VoiceofNightmares,悪夢の声、ブリセラ（あくむのこえぶりせら）,　9,10,　レア,　伝説のクリーチャー,　５白白,あなたが消えゆく光、ブルーナを唱えたとき、あなたの墓地から天使(Angel)クリーチャー・カード１枚か人間(Human)クリーチャー・カード１枚を対象とする。あなたはそれを戦場に戻してもよい。飛行、警戒（《折れた刃、ギセラ/Gisela theBrokenBlade》と合体する。）飛行、先制攻撃、警戒、絆魂あなたの対戦相手は、点数で見たマナ・コストが３以下の呪文を唱えられない。
　ChokingRestraints,絞首束縛（こうしゅそくばく）,　9,10,　コモン,　エンチャント,　２白,エンチャント（クリーチャー）エンチャントされているクリーチャーでは攻撃したりブロックしたりできない。(３)(白)(白) 絞首束縛を生け贄に捧げる：エンチャントされているクリーチャーを追放する。
　CollectiveEffort,集団的努力（しゅうだんてきどりょく）,　9,10,　レア,　ソーサリー,　１白白,増呪―あなたがコントロールするアンタップ状態のクリーチャー１体をタップする。（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・パワーが４以上のクリーチャー１体を対象とし、それを破壊する。・エンチャント１つを対象とし、それを破壊する。・プレイヤー１人を対象とする。そのプレイヤーがコントロールする各クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。
　CourageousOutrider,勇敢な先導（ゆうかんなせんどう）,　3,4,　アンコモン,　クリーチャー,　３白,勇敢な先導が戦場に出たとき、あなたのライブラリーの一番上からカードを４枚見る。あなたはその中から人間(Human)カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。
　DawnGryff,夜明けのグリフ（よあけのぐりふ）,　2,2,　コモン,　クリーチャー,　２白,飛行
　DeploytheGatewatch,ゲートウォッチ配備（げーとうぉっちはいび）,　2,2,　神話レア,　ソーサリー,　４白白,あなたのライブラリーの一番上からカードを７枚見る。その中からプレインズウォーカー・カード最大２枚を戦場に出す。残りをあなたのライブラリーの一番下に無作為の順番で置く。
　DesperateSentry,捨て身の歩哨（すてみのほしょう）,　1,2,　コモン,　クリーチャー,　２白,捨て身の歩哨が死亡したとき、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、捨て身の歩哨は+3/+0の修整を受ける。
　DrogskolShieldmate,ドラグスコルの盾仲間（どらぐすこるのたてなかま）,　2,3,　アンコモン,　クリーチャー,　２白,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）ドラグスコルの盾仲間が戦場に出たとき、ターン終了時まで、あなたがコントロールする他のクリーチャーは+0/+1の修整を受ける。
　ExtricatorofFlesh,肉体からの解放者（にくたいからのかいほうしゃ）,　3,5,　アンコモン,　クリーチャー,　２白,罪からの解放者が戦場に出たとき、あなたは他のパーマネント１つを生け贄に捧げてもよい。そうしたなら、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。昂揚―あなたのアップキープの開始時に、あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれる場合、罪からの解放者を変身させる。あなたがコントロールするエルドラージ(Eldrazi)は警戒を持つ。(２) (Ｔ) エルドラージでないクリーチャー１体を生け贄に捧げる：無色の3/2のエルドラージ・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　FaithUnbroken,揺るぎない信仰（ゆるぎないしんこう）,　3,5,　アンコモン,　エンチャント,　３白,エンチャント（あなたがコントロールするクリーチャー）揺るぎない信仰が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、揺るぎない信仰が戦場を離れるまでそれを追放する。エンチャントされているクリーチャーは+2/+2の修整を受ける。
　FaithbearerPaladin,信仰持ちの聖騎士（しんこうもちのせいきし）,　3,4,　コモン,　クリーチャー,　４白,絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）
　FiendBinder,悪鬼を縛る者（あっきをしばるもの）,　3,2,　コモン,　クリーチャー,　３白,悪鬼を縛る者が攻撃するたび、防御プレイヤーがコントロールするクリーチャー１体を対象とし、それをタップする。
　GeistoftheLonelyVigil,孤独な夜番の霊（こどくなやばんのれい）,　2,3,　アンコモン,　クリーチャー,　１白,防衛、飛行昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、孤独な夜番の霊は防衛を持たないかのように攻撃できる。
　Gisela theBrokenBlade,折れた刃、ギセラ（おれたやいばぎせら）,　4,3,　神話レア,　伝説のクリーチャー,　２白白,飛行、先制攻撃、絆魂あなたの終了ステップの開始時に、あなたが折れた刃、ギセラと《消えゆく光、ブルーナ/Bruna theFadingLight》という名前のクリーチャーを１体コントロールしているとともにそれらのオーナーである場合、それらを追放し、その後それらを《悪夢の声、ブリセラ/Brisela VoiceofNightmares》へと合体させる。
　GiveNoGround,一所懸命（いっしょけんめい）,　4,3,　アンコモン,　インスタント,　３白,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+6の修整を受けるとともに、このターン、それは望む数のクリーチャーをブロックできる。
　GuardianofPilgrims,巡礼者の守護霊（じゅんれいしゃのしゅごれい）,　2,2,　コモン,　クリーチャー,　１白,巡礼者の守護霊が戦場に出たとき、クリーチャー１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。
　IroncladSlayer,鉄覆いの処刑者（てつおおいのしょけいしゃ）,　3,2,　コモン,　クリーチャー,　２白,鉄覆いの処刑者が戦場に出たとき、あなたの墓地からオーラ(Aura)・カード１枚か装備品(Equipment)カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。
　Ironwright'sCleansing,鉄大工の浄化（てつだいくのじょうか）,　3,2,　コモン,　ソーサリー,　２白,アーティファクト１つかエンチャント１つを対象とし、それを追放する。
　ItThatRidesasOne,同体騎手（どうたいきしゅ）,　4,4,　アンコモン,　クリーチャー,　１白,先制攻撃、絆魂終了ステップの開始時に、このターンにあなたが３点以上のライフを得ていた場合、単体騎手を変身させる。先制攻撃、トランプル、絆魂
　LongRoadHome,遥かなる旅路（はるかなるたびじ）,　4,4,　アンコモン,　インスタント,　１白,クリーチャー１体を対象とし、それを追放する。次の終了ステップの開始時に、そのカードをオーナーのコントロール下で、+1/+1カウンターが１個置かれた状態で戦場に戻す。
　LunarchMantle,月皇の外套（げっこうのがいとう）,　4,4,　コモン,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+2の修整を受けるとともに「(１) パーマネント１つを生け贄に捧げる：ターン終了時まで、このクリーチャーは飛行を得る。」を持つ。
　PeaceofMind,安らぎ（やすらぎ）,　4,4,　アンコモン,　エンチャント,　１白,(白) カードを１枚捨てる：あなたは３点のライフを得る。
　Providence,神の導き（かみのみちびき）,　4,4,　レア,　ソーサリー,　５白白,あなたはあなたのゲームの開始時の手札からこのカードを公開してもよい。そうしたなら、最初のアップキープの開始時に、あなたのライフの総量は26点になる。あなたのライフの総量は26点になる。
　RepeltheAbominable,忌の一掃（いみのいっそう）,　4,4,　アンコモン,　インスタント,　１白,このターンに人間(Human)でない発生源が与えるすべてのダメージを軽減する。
　SanctifierofSouls,魂の聖別者（たましいのせいべつしゃ）,　2,3,　レア,　クリーチャー,　３白,他のクリーチャーが１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、魂の聖別者は+1/+1の修整を受ける。(２)(白) あなたの墓地からクリーチャー・カード１枚を追放する：飛行を持つ白の1/1のスピリット(Spirit)・クリーチャー・トークンを１体戦場に出す。
　SelflessSpirit,無私の霊魂（むしのれいこん）,　2,1,　レア,　クリーチャー,　１白,飛行無私の霊魂を生け贄に捧げる：ターン終了時まで、あなたがコントロールするクリーチャーは破壊不能を得る。
　Sigarda'sAid,シガルダの助け（しがるだのたすけ）,　2,1,　レア,　エンチャント,　白,あなたは、オーラ(Aura)呪文や装備品(Equipment)呪文を、それが瞬速を持っているかのように唱えてもよい。装備品が１つあなたのコントロール下で戦場に出るたび、あなたがコントロールするクリーチャー１体を対象とする。あなたはその装備品をそのクリーチャーにつけてもよい。
　SigardianPriest,シガルダ教の僧侶（しがるだきょうのそうりょ）,　1,2,　コモン,　クリーチャー,　１白,(１) (Ｔ)：人間(Human)でないクリーチャー１体を対象とし、それをタップする。
　SpectralReserves,霊体の予備兵（れいたいのよびへい）,　1,2,　コモン,　ソーサリー,　３白,飛行を持つ白の1/1のスピリット(Spirit)・クリーチャー・トークンを２体戦場に出す。あなたは２点のライフを得る。
　SteadfastCathar,不動の聖戦士（ふどうのせいせんし）,　2,1,　コモン,　クリーチャー,　１白,不動の聖戦士が攻撃するたび、ターン終了時まで、これは+0/+2の修整を受ける。
　SubjugatorAngel,支配の天使（しはいのてんし）,　4,3,　アンコモン,　クリーチャー,　４白白,飛行支配の天使が戦場に出たとき、対戦相手がコントロールするクリーチャーをすべてタップする。
　Thalia HereticCathar,異端聖戦士、サリア（いたんせいせんしさりあ）,　3,2,　レア,　伝説のクリーチャー,　２白,先制攻撃対戦相手がコントロールする、クリーチャーと基本でない土地はタップ状態で戦場に出る。
　Thalia'sLancers,サリアの槍騎兵（さりあのそうきへい）,　4,4,　レア,　クリーチャー,　３白白,先制攻撃サリアの槍騎兵が戦場に出たとき、あなたはあなたのライブラリーから伝説のカード１枚を探してもよい。そうしたなら、それを公開してあなたの手札に加え、その後あなたのライブラリーを切り直す。
　ThrabenStandardBearer,スレイベンの軍旗手（すれいべんのぐんきしゅ）,　1,1,　コモン,　クリーチャー,　白,(１)(白) (Ｔ) カードを１枚捨てる：白の1/1の人間(Human)・兵士(Soldier)クリーチャー・トークンを１体戦場に出す。
　AdvancedStitchwing,改良された縫い翼（かいりょうされたぬいつばさ）,　3,4,　アンコモン,　クリーチャー,　３青青,飛行(２)(青) カード２枚を捨てる：あなたの墓地から改良された縫い翼をタップ状態で戦場に戻す。
　ChillingGrasp,冷たいわしづかみ（つめたいわしづかみ）,　3,4,　アンコモン,　インスタント,　２青,クリーチャー最大２体を対象とし、それらをタップする。それらのクリーチャーは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。マッドネス(３)(青)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　CoaxfromtheBlindEternities,久遠の闇からの誘引（くおんのやみからのゆういん）,　3,4,　レア,　ソーサリー,　２青,あなたはゲームの外部か追放領域にある、あなたがオーナーであるエルドラージ(Eldrazi)・カード１枚を選んでもよい。そうしたなら、それを公開してあなたの手札に加える。
　ContingencyPlan,有事対策（ゆうじたいさく）,　3,4,　コモン,　ソーサリー,　１青,あなたのライブラリーの一番上からカードを５枚見る。それらのうち望む枚数をあなたの墓地に置き、残りをあなたのライブラリーの一番上に望む順番で置く。
　Convolute,巻き込み（まきこみ）,　3,4,　コモン,　インスタント,　２青,呪文１つを対象とする。それのコントローラーが(４)を支払わないかぎり、それを打ち消す。
　VoraciousReader,貪欲な読書家（どんよくなどくしょか）,　3,4,　アンコモン,　クリーチャー,　１青,(Ｔ)：あなたのマナ・プールに(◇)を加える。このマナは、インスタント呪文かソーサリー呪文を唱えるためにのみ使用できる。あなたのアップキープの開始時に、あなたの墓地にインスタント・カードやソーサリー・カードが合わせて３枚以上ある場合、詮索好きのホムンクルスを変身させる。果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）あなたがインスタント呪文やソーサリー呪文を唱えるためのコストは(１)少なくなる。
　Displace,相変位（そうへんい）,　3,4,　コモン,　インスタント,　２青,あなたがコントロールするクリーチャー最大２体を対象とし、それらを追放する。その後、それらのカードをオーナーのコントロール下で戦場に戻す。
　FinalIteration,繰り返しつくしたもの（くりかえしつくしたもの）,　6,5,　レア,　クリーチャー,　３青青,飛行あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、青の1/1の人間(Human)・ウィザード(Wizard)・クリーチャー・トークンを１体戦場に出す。その後、あなたがウィザードを３体以上コントロールしているなら、完成態の講師を変身させる。飛行あなたがコントロールするウィザード(Wizard)は+2/+1の修整を受けるとともに飛行を持つ。あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、青の1/1の人間(Human)・ウィザード・クリーチャー・トークンを１体戦場に出す。
　DragUnder,引きずり込み（ひきずりこみ）,　6,5,　コモン,　ソーサリー,　２青,クリーチャー１体を対象とし、それをオーナーの手札に戻す。カードを１枚引く。
　EnlightenedManiac,悟った狂人（さとったきょうじん）,　0,2,　コモン,　クリーチャー,　３青,悟った狂人が戦場に出たとき、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　ExultantCultist,歓喜する信者（かんきするしんじゃ）,　2,2,　コモン,　クリーチャー,　２青,歓喜する信者が死亡したとき、カードを１枚引く。
　Fogwalker,霧歩き（きりあるき）,　1,3,　コモン,　クリーチャー,　１青,潜伏（このクリーチャーは、これより大きなパワーを持つクリーチャーによってはブロックされない。）霧歩きが戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とする。それはそれのコントローラーの次のアンタップ・ステップにアンタップしない。
　Fortune'sFavor,偏った幸運（かたよったこううん）,　1,3,　アンコモン,　インスタント,　３青,対戦相手１人を対象とする。そのプレイヤーはあなたのライブラリーの一番上からカードを４枚見て、それらを裏向きの束１つと表向きの束１つに分ける。一方の束をあなたの手札に加え、もう一方をあなたの墓地に置く。
　GeistoftheArchives,書庫の霊（しょこのれい）,　0,4,　アンコモン,　クリーチャー,　２青,防衛あなたのアップキープの開始時に、占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）
　GrislyAnglerfish,不気味なアンコウ（ぶきみなあんこう）,　4,5,　アンコモン,　クリーチャー,　２青,(Ｔ)：あなたのライブラリーの一番上からカードを２枚あなたの墓地に置く。その後、あなたの墓地に無色のクリーチャー・カードがあるなら、白髪交じりの釣り人を変身させる。(６)：このターン、対戦相手がコントロールするクリーチャーは可能なら攻撃する。
　IdentityThief,身分泥棒（みぶんどろぼう）,　0,3,　レア,　クリーチャー,　２青青,身分泥棒が攻撃したとき、他のトークンでないクリーチャー１体を対象とする。あなたはそれを追放してもよい。そうしたなら、ターン終了時まで、身分泥棒はそのクリーチャーのコピーになる。次の終了ステップの開始時に、その追放されたカードをオーナーのコントロール下で戦場に戻す。
　ImprisonedintheMoon,月への封印（つきへのふういん）,　0,3,　レア,　エンチャント,　２青,エンチャント（クリーチャーか土地かプレインズウォーカー）エンチャントされているパーマネントは「(Ｔ)：あなたのマナ・プールに(◇)を加える。」を持つ無色の土地であるとともに、他のすべてのカード・タイプと能力を失う。
　IngeniousSkaab,巧妙なスカーブ（こうみょうなすかーぶ）,　2,3,　コモン,　クリーチャー,　２青,果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）(青)：ターン終了時まで、巧妙なスカーブは+1/-1の修整を受ける。
　LaboratoryBrute,研究室の粗暴者（けんきゅうしつのそぼうしゃ）,　3,3,　コモン,　クリーチャー,　３青,研究室の粗暴者が戦場に出たとき、あなたのライブラリーの一番上からカードを４枚あなたの墓地に置く。
　LunarForce,月の力（つきのちから）,　3,3,　アンコモン,　エンチャント,　２青,対戦相手が呪文を１つ唱えたとき、月の力を生け贄に捧げるとともに、その呪文を打ち消す。
　MausoleumWanderer,霊廟の放浪者（れいびょうのほうろうしゃ）,　1,1,　レア,　クリーチャー,　青,飛行他のスピリット(Spirit)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、霊廟の放浪者は+1/+1の修整を受ける。霊廟の放浪者を生け贄に捧げる：インスタント呪文１つかソーサリー呪文１つを対象とする。そのコントローラーが(Ｘ)を支払わないかぎり、それを打ち消す。Ｘは、霊廟の放浪者のパワーに等しい。
　Mind'sDilation,意識の拡張（いしきのかくちょう）,　1,1,　神話レア,　エンチャント,　５青青,対戦相手１人が各ターンの自分の１つ目の呪文を唱えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。それが土地でないカードであるなら、あなたはそれをそのマナ・コストを支払うことなく唱えてもよい。
　NebelgastHerald,ネベルガストの伝令（ねべるがすとのでんれい）,　2,1,　アンコモン,　クリーチャー,　２青,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）飛行ネベルガストの伝令か他のスピリット(Spirit)が１体あなたのコントロール下で戦場に出るたび、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。
　NiblisofFrost,霜のニブリス（しものにぶりす）,　3,3,　レア,　クリーチャー,　２青青,飛行果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。そのクリーチャーは、それのコントローラーの次のアンタップ・ステップにアンタップしない。
　ScourtheLaboratory,研究室の捜索（けんきゅうしつのそうさく）,　3,3,　アンコモン,　インスタント,　４青青,昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるなら、研究室の捜索を唱えるためのコストは(２)少なくなる。カードを３枚引く。
　SpontaneousMutation,突発的変化（とっぱつてきへんか）,　3,3,　コモン,　エンチャント,　青,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）エンチャント（クリーチャー）エンチャントされているクリーチャーは-X/-0の修整を受ける。Ｘは、あなたの墓地にあるカードの枚数に等しい。
　SummaryDismissal,即時却下（そくじきゃっか）,　3,3,　レア,　インスタント,　２青青,他のすべての呪文を追放し、すべての能力を打ち消す。
　TakeInventory,棚卸し（たなおろし）,　3,3,　コモン,　ソーサリー,　１青,カードを１枚引き、その後カードを、あなたの墓地にある《棚卸し/TakeInventory》という名前のカードの枚数に等しい枚数引く。
　TatteredHaunter,ぼろぼろの憑依者（ぼろぼろのひょういしゃ）,　2,1,　コモン,　クリーチャー,　１青,飛行ぼろぼろの憑依者は飛行を持つクリーチャーのみをブロックできる。
　TurnAside,取り繕い（とりつくろい）,　2,1,　コモン,　インスタント,　青,あなたがコントロールするパーマネントを対象とする呪文１つを対象とし、それを打ち消す。
　Unsubstantiate,非実体化（ひじったいか）,　2,1,　アンコモン,　インスタント,　１青,呪文１つかクリーチャー１体を対象とし、それをオーナーの手札に戻す。
　WharfInfiltrator,波止場の潜入者（はとばのせんにゅうしゃ）,　1,1,　レア,　クリーチャー,　１青,潜伏（このクリーチャーは、これより大きなパワーを持つクリーチャーによってはブロックされない。）波止場の潜入者がプレイヤー１人に戦闘ダメージを与えるたび、あなたはカードを１枚引いてもよい。そうしたなら、カード１枚を捨てる。あなたがクリーチャー・カードを１枚捨てるたび、あなたは(２)を支払ってもよい。そうしたなら、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　BoonofEmrakul,エムラクールの加護（えむらくーるのかご）,　1,1,　コモン,　エンチャント,　２黒,エンチャント（クリーチャー）エンチャントされているクリーチャーは+3/-3の修整を受ける。
　BorrowedMalevolence,邪悪借用（じゃあくしゃくよう）,　1,1,　コモン,　インスタント,　黒,増呪(２)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つまたは両方を選ぶ。・クリーチャー１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。・クリーチャー１体を対象とする。ターン終了時まで、それは-1/-1の修整を受ける。
　CemeteryRecruitment,墓地からの徴用（ぼちからのちょうよう）,　1,1,　コモン,　ソーサリー,　１黒,あなたの墓地からクリーチャー・カード１枚を対象とし、それをあなたの手札に戻す。それがゾンビ(Zombie)・カードであるなら、カードを１枚引く。
　CertainDeath,生命の危機（せいめいのきき）,　1,1,　コモン,　ソーサリー,　５黒,クリーチャー１体を対象とし、それを破壊する。それのコントローラーは２点のライフを失い、あなたは２点のライフを得る。
　CollectiveBrutality,集団的蛮行（しゅうだんてきばんこう）,　1,1,　レア,　ソーサリー,　１黒,増呪―カードを１枚捨てる。（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・対戦相手１人を対象とする。そのプレイヤーは自分の手札を公開する。あなたはその中からインスタント・カード１枚かソーサリー・カード１枚を選ぶ。そのプレイヤーはそのカードを捨てる。・クリーチャー１体を対象とする。ターン終了時まで、それは-2/-2の修整を受ける。・対戦相手１人を対象とする。そのプレイヤーは２点のライフを失い、あなたは２点のライフを得る。
　Cryptbreaker,墓所破り（ぼしょやぶり）,　1,1,　レア,　クリーチャー,　黒,(１)(黒) (Ｔ) カードを１枚捨てる：黒の2/2のゾンビ(Zombie)・クリーチャー・トークンを１体戦場に出す。あなたがコントロールするアンタップ状態のゾンビ３体をタップする：あなたはカードを１枚引き、あなたは１点のライフを失う。
　DarkSalvation,闇の救済（やみのきゅうさい）,　1,1,　レア,　ソーサリー,　ＸＸ黒,プレイヤー１人とクリーチャー最大１体を対象とする。そのプレイヤーは黒の2/2のゾンビ(Zombie)・クリーチャー・トークンをＸ体戦場に出す。その後、ターン終了時まで、その対象としたクリーチャーは、その対象としたプレイヤーがコントロールするゾンビ１体につき-1/-1の修整を受ける。
　DuskFeaster,薄暮の饗宴者（はくぼのきょうえんしゃ）,　4,5,　アンコモン,　クリーチャー,　５黒黒,昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるなら、薄暮の饗宴者を唱えるためのコストは(２)少なくなる。飛行
